,cities,lat,long,d1,d2,d3,sharp2,heat2,sharp3,heat3,sharp4,heat4,sharp5,heat5,sharp6,heat6,sharp7,heat7,sharp8,heat8,sharp9,heat9,sharp10,heat10
592,龙南,24.911059,114.789928,0.14621197,0.068553392,0.148660991,Cluster 1,Cluster 1_a,Cluster 3,Cluster 3_b,Cluster 3,Z,Cluster 1,Z,Cluster 4,Z,Cluster 4,Cluster 4_a,Cluster 8,Cluster 8_a,Cluster 8,Cluster 8_a,Cluster 9,Z
593,南康,25.661448,114.765348,0.092296912,0.054465119,0.141502753,Cluster 1,Cluster 1_b,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_b,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 4,Cluster 4_a,Cluster 8,Z,Cluster 8,Cluster 8_a,Cluster 9,Cluster 9_a
594,宁都,26.470176,116.009387,0.163726004,0.045385517,0.100919772,Cluster 1,Cluster 1_a,Cluster 3,Z,Cluster 3,Z,Cluster 1,Z,Cluster 4,Z,Cluster 4,Cluster 4_a,Cluster 8,Cluster 8_a,Cluster 8,Cluster 8_a,Cluster 4,Z
595,全南,24.742364,114.530122,0.186447164,0.047486607,0.11709703,Cluster 1,Cluster 1_a,Cluster 3,Z,Cluster 3,Z,Cluster 1,Z,Cluster 4,Z,Cluster 4,Cluster 4_a,Cluster 8,Cluster 8_a,Cluster 8,Cluster 8_a,Cluster 4,Z
596,瑞金,25.885607,116.027066,0.11440481,0.086106421,0.107031309,Cluster 1,Cluster 1_b,Cluster 3,Cluster 3_a,Cluster 4,Z,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 4,Cluster 4_a,Cluster 8,Cluster 8_a,Cluster 8,Cluster 8_a,Cluster 9,Cluster 9_a
597,上犹,25.79087436,114.5375466,0.171968942,0.029509155,0.144922795,Cluster 1,Cluster 1_a,Cluster 3,Z,Cluster 3,Z,Cluster 1,Z,Cluster 5,Z,Cluster 4,Cluster 4_a,Cluster 8,Cluster 8_a,Cluster 8,Cluster 8_a,Cluster 4,Cluster 4_a
598,石城,26.32690323,116.3543039,0.162170367,0.049604819,0.10163224,Cluster 1,Cluster 1_a,Cluster 3,Z,Cluster 3,Z,Cluster 1,Z,Cluster 4,Z,Cluster 4,Cluster 4_a,Cluster 8,Cluster 8_a,Cluster 8,Cluster 8_a,Cluster 4,Z
599,信丰,25.386162,114.92283,0.131108273,0.078356396,0.107429415,Cluster 1,Cluster 1_a,Cluster 3,Cluster 3_b,Cluster 4,Z,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 4,Cluster 4_a,Cluster 8,Cluster 8_a,Cluster 8,Cluster 8_a,Cluster 9,Cluster 9_a
600,兴国,26.337783,115.363121,0.112531581,0.080644389,0.109360382,Cluster 1,Cluster 1_b,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_b,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 4,Cluster 4_a,Cluster 8,Z,Cluster 8,Cluster 8_a,Cluster 9,Cluster 9_a
601,寻乌,24.969493,115.639414,0.186943345,0.02040591,0.114581205,Cluster 1,Cluster 1_a,Cluster 2,Z,Cluster 3,Cluster 3_b,Cluster 3,Z,Cluster 5,Z,Cluster 4,Z,Cluster 8,Cluster 8_a,Cluster 8,Cluster 8_a,Cluster 4,Cluster 4_a
